date,open,high,low,close,volume
2024-03-04,2.71,2.76,2.63,2.64,7109
2024-03-05,2.62,2.83,2.62,2.71,5364
2024-03-06,2.61,2.79,2.61,2.72,2054
2024-03-07,2.6429,2.86,2.6429,2.8,3154
2024-03-08,2.8482,2.8482,2.82,2.83,891
2024-03-11,2.98,3,2.71,2.76,9108
2024-03-12,2.88,2.88,2.7164,2.76,2143
2024-03-13,2.8242,2.9501,2.79,2.79,11954
2024-03-14,2.92,2.9201,2.67,2.79,3465
2024-03-15,2.67,2.93,2.67,2.71,8388
2024-03-18,2.72,2.8694,2.68,2.68,10018
2024-03-19,2.72,2.82,2.72,2.795,1485
2024-03-20,2.87,2.87,2.61,2.79,12573
2024-03-22,2.88,2.88,2.619,2.78,13426
2024-03-26,2.78,2.78,2.63,2.75,3383
2024-03-27,2.6,2.8,2.6,2.8,17180
2024-03-28,2.79,2.8,2.5,2.8,24992
2024-04-01,2.8,2.84,2.52,2.82,13570
2024-04-02,2.65,2.72,2.41,2.58,22809
2024-04-03,2.42,2.51,2.17,2.18,20893
2024-04-04,2.325,2.325,2.17,2.17,2785
2024-04-05,2.215,2.2555,2.19,2.19,2163
2024-04-08,2.22,2.22,2.17,2.17,1046
2024-04-09,2.2,2.215,2.11,2.11,2339
2024-04-10,2.08,2.275,2.08,2.275,5029
2024-04-11,2.26,2.26,2.13,2.23,1947
2024-04-12,2.24,2.24,2.17,2.1901,3704
2024-04-15,2.02,2.2486,2,2.02,9490
2024-04-16,2,2.17,1.99,1.99,5933
2024-04-17,2.12,2.14,1.96,1.96,9386
2024-04-18,2.01,2.07,1.9,1.95,3485
2024-04-19,2.02,2.04,1.9418,1.96,4364
2024-04-22,1.915,2.08,1.9108,1.96,10629
2024-04-23,1.96,1.96,1.92,1.92,1676
2024-04-24,1.88,1.91,1.88,1.91,3068
2024-04-25,1.93,1.9301,1.87,1.9,4402
2024-04-26,1.87,1.9863,1.8596,1.9599,4732
2024-04-29,1.9946,2.0295,1.8806,1.8806,1595
2024-05-01,1.95,2.01,1.85,1.8799,11726
2024-05-02,1.8663,1.9,1.8663,1.88,1257
2024-05-03,1.98,1.98,1.87,1.88,1748
2024-05-06,1.87,1.9,1.81,1.81,3919
2024-05-07,1.895,1.895,1.76,1.76,17925
2024-05-08,1.76,1.9065,1.76,1.83,4315
2024-05-09,1.78,1.99,1.7799,1.8656,6863
2024-05-10,1.95,1.95,1.78,1.7801,6465
2024-05-13,1.76,1.9,1.69,1.69,14809
2024-05-14,1.67,1.805,1.67,1.785,2591
2024-05-15,1.785,1.785,1.76,1.76,2244
2024-05-16,1.73,1.7499,1.69,1.71,5157
2024-05-17,1.68,1.74,1.68,1.71,2779
2024-05-20,1.73,1.8425,1.62,1.64,8351
2024-05-21,1.61,1.7499,1.61,1.74,15627
2024-05-22,1.77,1.78,1.67,1.7,5707
2024-05-23,1.71,1.71,1.68,1.68,849
2024-05-24,1.68,1.68,1.65,1.65,1044
2024-05-28,1.72,1.72,1.62,1.63,4637
2024-05-29,1.64,1.6401,1.63,1.64,3163
2024-05-30,1.7173,1.7199,1.6401,1.66,3942
2024-05-31,1.65,1.73,1.65,1.67,4818
2024-06-03,1.67,1.76,1.66,1.74,5159
2024-06-04,1.64,1.79,1.64,1.7899,10607
2024-06-05,1.7901,1.83,1.7799,1.815,8767
2024-06-06,1.8199,1.8199,1.7566,1.81,1313
2024-06-07,1.7752,1.82,1.7601,1.78,1359
2024-06-10,1.83,1.83,1.83,1.83,583
2024-06-11,1.82,1.834,1.8001,1.834,1531
2024-06-12,1.775,1.775,1.775,1.775,315
2024-06-13,1.87,1.905,1.87,1.9,1322
2024-06-14,1.8955,1.9247,1.7801,1.83,11105
2024-06-17,1.99,1.99,1.81,1.9,6684
2024-06-18,1.81,1.9101,1.7,1.7301,6460
2024-06-20,1.74,1.8243,1.74,1.8047,5219
2024-06-21,1.74,1.74,1.65,1.66,3645
2024-06-25,1.65,1.66,1.65,1.66,919
2024-06-26,1.715,1.73,1.66,1.66,4103
2024-06-27,1.6603,1.72,1.66,1.72,1740
2024-06-28,1.7,1.74,1.621,1.69,6043
2024-07-01,1.59,1.6927,1.59,1.6927,841
2024-07-02,1.64,1.64,1.58,1.58,3134
2024-07-03,1.5901,1.5901,1.5901,1.5901,793
2024-07-05,1.58,1.64,1.58,1.58,3493
2024-07-08,1.61,1.6313,1.55,1.55,3278
2024-07-09,1.52,1.63,1.52,1.56,5957
2024-07-10,1.565,1.62,1.55,1.56,2983
2024-07-11,1.58,1.58,1.58,1.58,347
2024-07-12,1.7,1.7,1.645,1.67,3726
2024-07-15,1.68,1.68,1.6,1.61,3665
2024-07-16,1.625,1.7,1.61,1.66,2556
2024-07-17,1.6637,1.72,1.6354,1.71,7234
2024-07-18,1.72,1.77,1.62,1.6898,8745
2024-07-19,1.6001,1.69,1.6001,1.63,1220
2024-07-22,1.63,1.64,1.58,1.63,15277
2024-07-23,1.63,1.63,1.6,1.6,1409
2024-07-24,1.62,1.64,1.5601,1.5758,4500
2024-07-25,1.62,1.62,1.56,1.6,4021
2024-07-26,1.605,1.63,1.51,1.583,12145
2024-07-29,1.53,1.6,1.5,1.51,15817
2024-07-30,1.5301,1.62,1.52,1.52,1668
2024-07-31,1.5199,1.5557,1.5195,1.54,4878
2024-08-01,1.53,1.54,1.516,1.5231,1655
2024-08-02,1.5,1.53,1.5,1.53,1741
2024-08-05,1.561,1.561,1.561,1.561,361
2024-08-06,1.4901,1.572,1.4901,1.5202,12854
2024-08-07,1.57,1.57,1.57,1.57,409
2024-08-08,1.5301,1.6,1.5101,1.52,2592
2024-08-09,1.51,1.51,1.51,1.51,272
2024-08-12,1.5613,1.5875,1.5,1.5,1939
2024-08-13,1.5219,1.58,1.5,1.5,2394
2024-08-14,1.58,1.62,1.5001,1.6,7715
2024-08-15,1.546,1.55,1.5456,1.55,1571
2024-08-16,1.5407,1.5695,1.51,1.55,9502
2024-08-19,1.51,1.55,1.5,1.55,6063
2024-08-20,1.595,1.6,1.51,1.51,12371
2024-08-21,1.55,1.6,1.5201,1.53,3488
2024-08-22,1.56,1.56,1.5301,1.55,927
2024-08-23,1.5301,1.55,1.53,1.54,4076
2024-08-26,1.61,1.61,1.5401,1.6,1410
2024-08-27,1.53,1.61,1.53,1.6,10164
2024-08-28,1.55,1.6199,1.55,1.56,808
2024-08-29,1.5891,1.5891,1.56,1.56,1053
2024-08-30,1.595,1.6,1.595,1.6,945
2024-09-03,1.56,1.64,1.56,1.64,522
2024-09-04,1.65,1.65,1.58,1.62,7273
2024-09-05,1.6108,1.69,1.61,1.68,3422
2024-09-06,1.67,1.69,1.62,1.67,3679
2024-09-09,1.66,1.72,1.62,1.72,1920
2024-09-10,1.73,1.73,1.715,1.72,2172
2024-09-11,1.7087,1.75,1.6503,1.75,12928
2024-09-12,1.7599,1.7599,1.7,1.74,815
2024-09-13,1.7,1.77,1.66,1.6604,5531
2024-09-16,1.68,1.69,1.66,1.69,2611
2024-09-17,1.67,1.74,1.6,1.62,5933
2024-09-18,1.635,1.635,1.55,1.55,3571
2024-09-19,1.635,1.635,1.635,1.635,1127
2024-09-20,1.59,1.65,1.43,1.43,16571
2024-09-23,1.43,1.6,1.43,1.58,8395
