date,open,high,low,close,volume
2024-08-16,10.9,11.42,7.71,10.19,194233
2024-08-19,10.12,11.9999,8.2,8.2,48442
2024-08-20,9.01,9.32,7.84,8.05,40892
2024-08-21,8.63,12.29,8,8.84,217193
2024-08-22,11.01,11.9573,10.0001,10.31,238567
2024-08-23,11,11.07,9.5,10.05,65482
2024-08-26,10.05,10.36,9.6801,10.05,73509
2024-08-27,10.08,10.08,8.25,8.9,67100
2024-08-28,8.63,8.7,7.01,7.89,54034
2024-08-29,8,8.3,7.08,7.29,40624
2024-08-30,7.49,8.89,7.27,8.78,51904
2024-09-03,9.5,9.5,8.12,8.7,33686
2024-09-04,8.8,9.03,8.0101,8.5,18567
2024-09-05,8.78,8.78,8.33,8.7,59132
2024-09-06,8.99,9.56,8.71,9.3,42285
2024-09-09,9.8,10,7.57,7.58,128173
2024-09-10,7.7,8.16,6.8,7,51278
2024-09-11,6.91,7.135,6.41,6.62,14603
2024-09-12,6.98,6.99,6.15,6.51,34161
2024-09-13,6.9,6.9,6.3299,6.33,24737
2024-09-16,6.4,6.4,4.89,5.6858,37644
2024-09-17,5.91,7.6,5.0049,5.15,364257
2024-09-18,5.15,5.15,4.75,4.75,59113
2024-09-19,8.13,10.76,5.62,7,7604573.0
2024-09-20,6.05,6.9944,6.05,6.36,421668
2024-09-23,6.21,6.21,5.48,5.53,161998
2024-09-24,5.44,5.58,4.81,4.92,174660
2024-09-25,5.32,8.12,5.3,7.52,3173486.0
2024-09-26,8.4,9,6.9,7.23,712483
2024-09-27,7,7.95,7,7.38,219445
2024-09-30,7.15,7.7267,6.51,6.71,126688
2024-10-01,6.97,7.2499,6.0101,6.62,41973
2024-10-02,6.45,7.2,6.3701,6.82,43547
2024-10-03,8.58,9.448,6.4112,7.18,5379172.0
2024-10-04,7.06,7.5,6.32,6.91,565150
2024-10-07,6.75,7.23,6.66,6.86,276844
2024-10-08,7.9,8.0799,6.81,6.91,1136447.0
2024-10-09,7.18,7.32,6.91,7.1,320596
2024-10-10,7.01,7.24,6.92,7.06,165585
2024-10-11,7.02,7.09,6.56,6.87,190019
2024-10-14,6.67,7.08,6.6504,6.79,93089
2024-10-15,6.78,6.9324,6.35,6.68,103384
2024-10-16,6.55,6.59,6.01,6.07,162686
2024-10-17,6.06,6.29,5.55,5.74,189839
2024-10-18,5.52,5.72,5.14,5.28,275078
2024-10-21,5.25,5.49,5.25,5.41,74663
2024-10-22,5.42,5.4984,5.1,5.13,101484
2024-10-23,5.06,5.18,4.93,5,92452
2024-10-24,4.95,5.11,4.9006,5.1,68597
2024-10-25,5.29,5.29,5.01,5.08,88792
2024-10-28,5.06,5.26,4.85,5,110080
2024-10-29,4.95,5.04,4.8,4.96,107674
2024-10-30,4.87,4.95,4.81,4.9,49209
2024-10-31,4.97,5.03,4.76,4.9,46426
2024-11-01,4.8,4.9,4.41,4.5,73842
2024-11-04,4.35,4.45,4.15,4.18,76797
2024-11-05,4.18,4.45,4.1342,4.44,43287
2024-11-06,4.35,4.64,4.3,4.46,61554
2024-11-07,4.37,4.5985,4.35,4.49,33237
2024-11-08,4.4,4.58,4.25,4.44,43968
2024-11-11,4.4,4.4,4.13,4.31,90568
2024-11-12,4.41,4.45,3.86,4.28,107329
2024-11-13,4.62,4.78,3.82,3.99,207100
2024-11-14,3.96,4.047474,3.4,3.45,133025
2024-11-15,3.41,3.4535,2.595,2.73,319014
2024-11-18,2.77,2.85,2.64,2.65,93208
2024-11-19,2.77,2.8,2.385,2.57,240283
2024-11-20,2.8,2.98,1.9,2.01,9529476.0
2024-11-21,2,2,1.63,1.74,1362631.0
2024-11-22,1.64,1.85,1.57,1.82,2645118.0
2024-11-25,1.9,2.33,1.88,2.19,2011514.0
2024-11-26,2.43,2.6798,2.14,2.24,1999611.0
2024-11-27,2.32,2.4009,2.0608,2.21,629023
2024-11-29,2.12,2.155,1.96,2.12,502747
2024-12-02,2.2,2.68,2.17,2.49,2375454.0
2024-12-03,2.47,2.4902,2.2001,2.3,660953
2024-12-04,2.44,2.46,2.1801,2.29,619424
2024-12-05,2.4,2.5099,2.06,2.12,1549702.0
2024-12-06,2.07,2.13,1.8,1.83,1729878.0
2024-12-09,2.11,2.3699,1.92,1.95,4743952.0
2024-12-10,2.04,2.04,1.83,1.93,4245052.0
2024-12-11,2.32,2.77,1.9301,1.99,60138662.0
2024-12-12,2.28,2.3397,2.03,2.07,19453494.0
2024-12-13,2.16,2.16,1.93,1.99,8775438.0
2024-12-16,2.15,2.1508,2.02,2.13,8634716.0
2024-12-17,2.17,4,2.17,3.29,72529482.0
2024-12-18,3.91,4.3191,3.495,3.75,44897265.0
2024-12-19,3.61,3.62,2.93,3.04,13059555.0
2024-12-20,3.11,3.19,2.62,2.96,12527789.0
2024-12-23,3.26,3.33,3,3.23,11086173.0
2024-12-24,3.65,3.81,3.28,3.56,26417586.0
2024-12-26,3.6,4.95,3.38,4.62,40445306.0
2024-12-27,5.18,5.45,4.24,4.6,39694328.0
2024-12-30,4.49,4.93,3.925,4.72,18996894.0
2024-12-31,4.63,4.64,3.625,3.82,15777248.0
2025-01-02,3.93,4.2912,3.71,4.09,11451933.0
2025-01-03,4.26,4.53,3.91,4.32,13476924.0
2025-01-06,4.23,4.37,3.8601,4.05,12465091.0
2025-01-07,4.01,4.02,3.5488,3.72,9218318.0
2025-01-08,3.2,3.27,2.88,2.97,12847525.0
2025-01-10,3.03,3.24,2.9,3.21,5533588.0
2025-01-13,2.64,2.93,2.365,2.4,9209502.0
2025-01-14,2.36,2.5199,2.23,2.31,8211691.0
2025-01-15,2.47,2.71,2.38,2.41,6695812.0
2025-01-16,2.82,3.14,2.62,3.01,18915195.0
2025-01-17,3.02,3.02,2.785,2.84,6932613.0
2025-01-21,2.95,3.03,2.76,2.86,7874428.0
2025-01-22,3.23,3.4,3.038,3.16,23957388.0
2025-01-23,3,3.15,2.93,3.05,5969504.0
2025-01-24,3.09,3.28,2.84,2.87,7293345.0
2025-01-27,2.56,2.75,2.53,2.64,5697806.0
2025-01-28,2.64,2.68,2.415,2.56,4305211.0
2025-01-29,2.61,2.61,2.29,2.46,4552995.0
2025-01-30,2.55,2.63,2.48,2.56,2659188.0
2025-01-31,2.73,2.73,2.5,2.5,4197062.0
2025-02-03,2.21,2.39,2.2,2.28,4124625.0
