date,open,high,low,close,volume
2024-03-01,1.14,1.2275,1.14,1.21,518
2024-03-04,1.12,1.28,1.12,1.2199,2758
2024-03-05,1.24,1.24,1.2,1.2263,1258
2024-03-06,1.19,1.1901,1.19,1.1901,837
2024-03-07,1.23,1.27,1.2,1.245,4627
2024-03-08,1.2467,1.26,1.2467,1.26,305
2024-03-11,1.27,1.29,1.26,1.29,1310
2024-03-12,1.29,1.42,1.29,1.42,5276
2024-03-13,1.4,1.67,1.3437,1.58,8474
2024-03-14,1.65,1.65,1.57,1.63,9036
2024-03-15,1.62,1.69,1.62,1.69,13014
2024-03-18,1.64,1.75,1.64,1.75,8461
2024-03-19,1.82,1.9,1.775,1.89,5214
2024-03-20,1.89,1.94,1.745,1.78,19286
2024-03-21,1.8219,1.87,1.73,1.8,10300
2024-03-22,1.91,1.91,1.7,1.7,2411
2024-03-25,1.7,1.73,1.63,1.69,2576
2024-03-26,1.7,1.7,1.58,1.66,7539
2024-03-27,1.71,1.71,1.6101,1.7,15685
2024-03-28,1.72,1.72,1.58,1.6209,19869
2024-04-01,1.63,1.65,1.3924,1.53,13094
2024-04-02,1.53,1.57,1.4,1.46,7243
2024-04-03,1.46,1.61,1.39,1.52,7347
2024-04-04,1.475,1.5,1.47,1.5,2262
2024-04-05,1.49,1.49,1.455,1.47,4699
2024-04-08,1.525,1.525,1.45,1.4612,7133
2024-04-09,1.48,1.5,1.4744,1.5,1801
2024-04-10,1.5,1.605,1.5,1.5,1882
2024-04-11,1.5,1.5383,1.5,1.5,848
2024-04-12,1.475,1.5,1.475,1.4994,801
2024-04-15,1.46,1.52,1.4,1.44,6247
2024-04-16,1.47,1.48,1.45,1.48,3507
2024-04-17,1.507,1.55,1.507,1.55,1434
2024-04-18,1.535,1.535,1.48,1.52,2735
2024-04-22,1.49,1.5,1.49,1.49,778
2024-04-23,1.52,1.52,1.52,1.52,109
2024-04-24,1.51,1.56,1.51,1.56,4405
2024-04-25,1.5201,1.59,1.5201,1.59,1865
2024-04-26,1.56,1.655,1.46,1.53,17998
2024-04-29,1.585,1.585,1.56,1.56,705
2024-04-30,1.74,1.74,1.495,1.4975,1606
2024-05-01,1.48,1.509,1.46,1.509,1000
2024-05-02,1.53,1.5745,1.46,1.535,8472
2024-05-03,1.645,1.645,1.5,1.5,2142
2024-05-06,1.51,1.5325,1.51,1.5325,400
2024-05-07,1.57,1.6,1.57,1.57,608
2024-05-08,1.5,1.67,1.5,1.64,5805
2024-05-09,1.68,1.7,1.6,1.64,2300
2024-05-10,1.64,1.64,1.6,1.64,612
2024-05-13,1.5618,1.645,1.5618,1.6,734
2024-05-14,1.6,1.65,1.6,1.65,495
