date,open,high,low,close,volume
2024-03-01,0.0909,0.0969,0.09,0.0969,15550
2024-03-04,0.0909,0.0967,0.08,0.08,1730
2024-03-05,0.0788,0.08,0.0788,0.08,2024
2024-03-06,0.0808,0.097,0.0507,0.097,12638
2024-03-07,0.0961,0.11,0.08,0.11,29214
2024-03-12,0.085,0.085,0.0805,0.0805,533
2024-03-18,0.0824,0.0885,0.0608,0.0614,11531
2024-03-19,0.0526,0.087999,0.0526,0.08,6284
2024-03-21,0.08,0.0882,0.0622,0.0882,1179
2024-03-26,0.062,0.08,0.0554,0.0555,12451
2024-03-27,0.079,0.085,0.0576,0.079,42488
2024-03-28,0.0845,0.1,0.0461,0.0578,94151
2024-04-01,0.074,0.087,0.059,0.08,33508
2024-04-02,0.08,0.095,0.06,0.0603,45225
2024-04-03,0.0604,0.084,0.0462,0.06,2200
2024-04-04,0.0565,0.057,0.0565,0.057,1400
2024-04-05,0.069899,0.075,0.06,0.07,2412
2024-04-08,0.0768,0.0768,0.0768,0.0768,150
2024-04-09,0.072,0.0798,0.072,0.0792,4590
2024-04-10,0.065,0.065,0.06,0.06,500
2024-04-12,0.06,0.0603,0.0583,0.0583,2057
2024-04-15,0.0505,0.0525,0.0505,0.0506,12888
2024-04-16,0.0511,0.0511,0.0511,0.0511,100
2024-04-17,0.0515,0.0515,0.0505,0.0505,3361
2024-04-18,0.0505,0.0505,0.05,0.05,1701
2024-04-23,0.0465,0.0465,0.0288,0.044999,36986
2024-04-24,0.036,0.0449,0.036,0.0448,550
2024-04-29,0.040451,0.040451,0.040451,0.040451,290
2024-05-08,0.0445,0.05,0.0445,0.0495,2700
2024-05-09,0.0494,0.0494,0.036,0.042949,1703
2024-05-13,0.0494,0.0494,0.0351,0.045,14272
2024-05-14,0.0353,0.0398,0.0251,0.0301,19609
2024-05-16,0.0386,0.0386,0.0386,0.0386,100
2024-05-20,0.04,0.04,0.04,0.04,200
2024-05-21,0.04,0.040001,0.04,0.040001,2850
2024-05-22,0.0301,0.04,0.03,0.035,2100
2024-05-24,0.034899,0.034899,0.034899,0.034899,1001
2024-05-28,0.0293,0.0303,0.0288,0.029,7422
2024-05-29,0.029,0.034999,0.029,0.034999,5145
2024-05-30,0.0289,0.0289,0.0251,0.0251,34220
2024-06-04,0.0333,0.0333,0.0251,0.0251,2000
2024-06-06,0.028,0.028,0.0222,0.0227,20541
2024-06-11,0.023,0.023,0.0222,0.023,21800
2024-06-12,0.0222,0.0223,0.0222,0.0222,2450
2024-06-17,0.023,0.023,0.023,0.023,4000
2024-06-20,0.023,0.0347,0.0228,0.0347,12436
2024-06-24,0.0311,0.0314,0.0311,0.0312,8200
2024-06-25,0.0344,0.0348,0.0344,0.0348,1246
2024-06-28,0.035,0.035,0.030051,0.030051,2100
2024-07-02,0.0253,0.035,0.0253,0.035,328
2024-07-09,0.0253,0.0273,0.016,0.0273,16938
2024-07-16,0.0189,0.0347,0.0188,0.029918,9024
2024-07-17,0.0347,0.034899,0.0202,0.034899,1000
2024-07-24,0.027551,0.027551,0.027551,0.027551,700
2024-07-26,0.0344,0.0444,0.0344,0.0444,12470
2024-07-29,0.0444,0.0485,0.0228,0.0334,39573
2024-07-30,0.0384,0.0478,0.0338,0.0338,5416
2024-07-31,0.0469,0.0481,0.04,0.04,9985
2024-08-01,0.024,0.024,0.024,0.024,538
2024-08-06,0.03,0.0325,0.023,0.023,18312
2024-08-07,0.0236,0.025,0.0181,0.0208,46530
2024-08-08,0.0384,0.0384,0.0269,0.0269,21905
2024-08-12,0.0248,0.025,0.0248,0.025,5900
2024-08-13,0.025,0.025,0.025,0.025,300
2024-08-14,0.025,0.025,0.0226,0.0226,18900
2024-08-15,0.025,0.0325,0.0248,0.0325,4580
2024-08-16,0.0404,0.0404,0.0404,0.0404,200
2024-08-19,0.024,0.0404,0.024,0.0404,4100
2024-08-20,0.0486,0.05,0.0486,0.05,11200
2024-08-23,0.04025,0.049,0.03,0.0404,6300
2024-08-29,0.03625,0.03625,0.034,0.034,4100
2024-08-30,0.0318,0.0322,0.0315,0.0322,300
2024-09-03,0.03,0.0341,0.0223,0.0225,33786
2024-09-04,0.0228,0.0229,0.0226,0.0226,4500
2024-09-05,0.0261,0.0294,0.0255,0.026,5225
2024-09-06,0.024,0.024,0.0225,0.0226,8196
2024-09-10,0.0225,0.0225,0.0225,0.0225,5208
2024-09-11,0.0225,0.0226,0.021,0.0211,8844
2024-09-16,0.021,0.021,0.021,0.021,2100
2024-09-20,0.021,0.021,0.021,0.021,2100
2024-09-23,0.027,0.0288,0.021,0.0224,13364
2024-09-24,0.0225,0.0226,0.0161,0.0161,3700
2024-09-25,0.0218,0.0218,0.016,0.019899,7911
2024-09-26,0.0195,0.0195,0.0152,0.0172,11354
2024-09-27,0.0156,0.0156,0.0156,0.0156,2222
2024-09-30,0.0156,0.0168,0.0156,0.0168,12400
2024-10-01,0.0175,0.018,0.0168,0.0176,5500
2024-10-02,0.0184,0.0184,0.016,0.016,10613
2024-10-07,0.0161,0.017,0.016,0.017,2000
2024-10-10,0.0156,0.0157,0.0156,0.0156,928
2024-10-24,0.0157,0.0157,0.0157,0.0157,100
2024-10-25,0.0157,0.0158,0.0157,0.0158,3000
2024-10-29,0.0158,0.0158,0.0158,0.0158,300
2024-11-04,0.0157,0.0158,0.0157,0.0157,3090
2024-11-05,0.0157,0.0157,0.0157,0.0157,4500
2024-11-12,0.0185,0.0234,0.016,0.02,63003
2024-11-13,0.0187,0.019,0.0163,0.019,8815
2024-11-18,0.0164,0.019,0.015,0.0157,155883
2024-11-19,0.015,0.0174,0.014,0.0174,31261
2024-11-20,0.01475,0.0174,0.0143,0.0174,56251
2024-11-25,0.0149,0.0167,0.014,0.0152,73389
2024-11-26,0.0151,0.0185,0.0151,0.0185,16306
2024-11-27,0.019,0.032,0.019,0.02,12100
2024-11-29,0.028,0.028,0.0248,0.026051,1916
2024-12-02,0.02,0.029,0.018,0.0182,170038
2024-12-04,0.0218,0.022,0.017545,0.0176,1625
2024-12-05,0.0175,0.023,0.0175,0.023,224
2024-12-06,0.0175,0.023,0.0174,0.0175,4316
2024-12-09,0.0225,0.0225,0.0174,0.0175,329092
2024-12-10,0.0175,0.0176,0.0175,0.0176,1100
2024-12-12,0.017951,0.017951,0.017951,0.017951,320
2024-12-13,0.0174,0.0186,0.0174,0.0186,19774
2024-12-16,0.0174,0.019,0.0174,0.019,275
2024-12-17,0.0175,0.0195,0.0175,0.0193,1802
2024-12-19,0.019,0.019,0.019,0.019,110
2024-12-23,0.0174,0.0195,0.0174,0.0176,2600
